Text,Sentiment
Price to performance Great Smart phone,positive
Best iphone and 200 percent value to money. Battery backup is really good comparable to leading android devices.,positive
received one plate broken and very bad transit customer servicethey should handle the products with care as the loss is brone by the customerapart from the broken plate quality of the product is good,negative
"Redmi 6A will be the best pick in the budget range. Other competitors can't give the features and quality which Redmi can give you at your hand and in a cheapest range. The best features of this phone is, its traditional looks and features. Battery life is also long lasting. So no doubt, you can go for it. I just have one issue with the packaging of the product by amazon. They have sent a plactic packet, I was shocked! But no damage or physical harm have occured. I am happy with my new device! Thanks Redmi, for giving us an oppurtunity to ascend to a new smartphone in an affordable price range. Thank you.",positive
The phone looks pretty good..blue colour is awesome..gifted to my husband on his birthday..arrived on the same day..camera quality is average..sound quality n battery life are good..the major disappointing part was that it does not have headset..,positive
"Battery performance is very poor, this mobile hangs also I tried to return within time period but amazon people don't agree.",negative
"Camera quality is not good., notifications are not shown when screen is off.",neutral
Moto g phone says it's not fast enough.,negative
The usb cable which is provided is not good.I expected a better one and its length is not even 30cms. It's really difficult to charge with very short cable length.,neutral
"Pigeon Vegetables chopper started to give problem after 15 days from the date of purchase. It is not working. On contacting Amazon , they advised to go to manufacturer. On contacting manufacturer, they just gave mobile number of Technician. On contacting Technician, he said there is no service center at Dehradun so he will charge RS 150/- for service charge. Cost of chopper is RS 285/- only and what is the logic to pay this amount. Rajesh Kanwar",positive
leader cycle is waste of money very light body cycle bends when you sit all angles are miss match got defected rear ball bearing please prefer another brand hero is far better,negative
very good product at this price range,neutral
"I have been using it for past few days, sound quality and call quality is good. Sound is highly emphasized on base, so base lovers will love it. The only problem I give 3 stars is that there is a connectivity issue. When we play some videos or music the audio comes out from the speaker even though the earphones are connected to it. That's the biggest flaw. Otherwise it's a great product at this price point.",neutral
very bad productdont waste your money,negative
Amazing phone Loved it..,positive
suction quality and finishing is not good enough,negative
Overall nice,positive
the motar not working properly,neutral
Installation not done even after 5 days.. Hence I'm returning this product,negative
So amazing phone in this price 7200 just love it i used it since one week and i just love it i thought that 3500 mh bettery is might be less than other phone bt i was wrong the bettery backup is also too good. Too smooth phone camera is also good the look of phone is just amazing.. DON'T THINK BUY IT 😍😍,positive
this price to gud phone,neutral
Excellent product . I am impressed,positive
"Built quality of the phone is superb,battery is exceptional and the display is fantastic,overall its will be perfect for you to try this phone even if you r a heavy phone user.i will personally suggest to put on a branded temper glass since i am now using a local one and it is causing some problem to the tuch while typing with one hand",positive
Product is dublicate amazon shipping dublicate product,negative
very smooth installationprofessional people,neutral
Battery performance is really poor!!!,neutral
not grinding properly,neutral
"The mobile won't has quality. It's better to choose lg. The screen will break on single time it hits the ground. Warranty won't be applicable to screen, speakers, etc. It only applicable to software. Theis mobile is too delicate",neutral
Mob is osm but 32mp camera not enough quality normal pic,neutral
"Camera not soo good., It feels more weight compare to other phones",neutral
quality is oktipe,neutral
Fingerprint reader much better than any other phones. Battery life is fine... Sometimes it recognize my brother face and that is not good for my data. He access my documents...,neutral
grinder was not working technician had to come and repair as replacement period was over one of the features remains defected yet and they arent ready to replace the product sighting the reason that online products will be like this onlyworst experience with butterfly,negative
worst stopped working after a month raised many complaints no one cares avoid bajaj if you care about money,negative
verry verry poor product,negative
Poor product ... Having software issue amazon service is very bad Poor policy,negative
"I won't recommend this product because the display is hd+ only. I can easily spot the difference between an HD and FHD display now. Text quality is very low because of hd+ display. You will struggle when you zoom a picture. However, stock android is nice and no ads at all.",neutral
bag was damaged else everything good,negative
"Worth for money but not expected quality. Display: good Battery: average Camera: poor performance: very good They given 48MP camera but its picture look like 12MP. Even my old mobile 12MP camera pic better than M30s. Other than this product is good but no headphone, screen card and cover with in box, only mobile and charger. Before buy it consider all above things then buy it.",positive
Good sound quality,positive
"The product is very good but I am giving it 4 star bcz its not that much water proof as companired to Asus zenfone max pro M1 & M2. The camera, finger print sensor are actually better than other phones in this price range even better than those previously mentioned Asus phones, but for me water proof is more important than camera.",positive
not much thick,neutral
"The iPhone X was a huge gamble from Apple, but one that really paid off. Losing the home button and altering the design was a dangerous move, but one that was sorely needed after years of similarity and the premium design, extra power, all-screen front mix together to create - by far - the best iPhone Apple's ever made. It's impossible to give a perfect score to something that costs this much - but this is the closest to smartphone perfection Apple has ever got. Losing known, reliable elements like the Touch ID fingerprint scanner, the home button; introducing new methods of navigating and unlocking the phone – and charging a lot more for the privilege – seems risky for a company that was already treading new ground by doing away with the traditional headphone jack last year. But the iPhone X is the handset we’ve been demanding from Apple for years – a world away from the increasingly-tired designs that those who just want a new iPhone have had to make do with. So… is the iPhone X worth having? Will it change the direction of an industry where many of the specs Apple has put in – wireless charging, bezel-less displays and face recognition – are already on the market?",positive
genuine product nice quality but rotation speed is lower than written,neutral
all ok but delivery agent not ok,neutral
its little bit thin,neutral
Low quality and revolution,negative
Slippery & quality back covers are not available. The way camera has been placed at backside is prone to scratches. Seems Apple deliberately have designed so that customer is forced to go service Center for repair or handset replacement. Product is over priced in terms of Battery life. Poor battery lofe,negative
too much noise not required for small homes,negative
bad product now product has stopped working its switch does not hold on as soon as one presses it,negative
Bass quality is average . Rest eveety is good .thied Beit phin nym babe:),positive
<first hour review> Phone call: Poor voice quality on phone calls. Some bass kills the clarity in voice. Music: Inferior sound quality when listening to music. Podcast: Average performance. Unnecessary bass is spooling the podcast experience.,neutral
deserted product,negative
do not buy this product the switch is not working within a month very poor quality products dont suggest anyone for this product,negative
"I have been looking for a lot of options to buy a New Tv as my earlier ones was an old Picture tube ones.. My search started with 43 inch TV as a goal... I spent almost a month reading reviews... watching tech videos... Visiting the nearest stores... Initially I thought of budget brands like Mi , Vu, n others with Android n other features... I have observed some defect in each one of these... Some will not have Netflix n Amazon prime like apps even though they say themselves as certificate Android...ofcourse few support Third party apps...but they are not smooth n also won't support 4K n HDR videos... Coming to the panels, I have observed few videos n reviews on net n can find IPS panels are most durable than that of VA panels you see around budget generally... Thanks to Panasonic for providing IPS panels. Finally after all I have gone for this Panasonic 43 inch 4K , the best I can say...it has inbuilt Netflix, Prime N YouTube.. all works perfectly n Even support 4K... Think wisely...these are only major content providers in Indian market today... Ofcourse if you require additional apps...there is a limited option... But Cast option is a good solution for it. overall the best quality picture n sound...no looks back... Panasonic brand service the best I can say... Go for it. Also I got it at almost 18K lower than store outside in Amazon.",positive
I would not recommend it for gaming just for random office work it's okey,neutral
"First of all i own a macbook pro 2013 and my expectations from this machine was quite high and it lives up to the mark everything showcased about this laptop is true PROs: Lightweight Privacy mode( i dont think its of use to me but still a good feature) screen is 120 Hz it doesnot get that much heated up boot time ,ssd and processor are awesome. looks are killing CONS: dont expect much from bang and olufsen ,quad speakers are installed still they dont sound loud on full volume they are distorted. screen is good but as said i own a macbook pro so the screen quality is not really good (according to me ) the webcam installed is of 2000s its very stupid , they should have sold it without camera. Overall i would recommened this laptop for professional use or someone who is looking for a lighweight laptop for gaming i only play CS GO and getting 150 FPS on this rig",positive
Face ID don’t work in some cases,positive
"Disappointed. I am currently using Sony LED HD TV which i bought back in 2017 for 70k. I got this LG UHD Tv delivered today and i bought it for my living room. I am shocked with the picture quality. They call it UHD 4K. How can a company use such terms to sell their products. My Sony TV is not even 4k or UHD. Its a regular HD TV and still far better then this so called LG UHD 4K TV. Do not waste your 60k-65k in this piece of crap. Low quality body, Very very low picture quality. How can someone rate this TV a 5 star. I am sure those reviews are from the seller or the company. I could easily get a 50 inch TV for 35k-50k of other brands like TCL, MI, BPL, Sanyo, Onida, VU etc. There are many other brands who provide TV for a cheaper price but i have spent 62k because i was looking for a good quality product. I could easily get a similar or better picture quality on other local brands. I would suggest everyone to avoid this TV. I have raised a return request and the technician will visit me on 3/4/2019 to inspect. This TV also has a scratch. I hope i will be able to return it. I will update the review after the technician visit.",negative
Worked nicely for a year. Now sound cracks and it shuts down all of a sudden.,neutral
Just received the product! Feeling excited! Detailed review will be coming after a month. Delivery was awesome placed the order by yesterday evening received at today noon! The package was damage free . Let’s see the future performance,positive
Big screen phone needs improvement in RAM management and sound quality. Will do no problem,neutral
"This is nice product. Although audio quality is not that great, but can't expect more in this price range. Noise cancellation is efficient and fits nicely in the ear drum. overall, I would recommend this one if you want to buy Bluetooth headphone under Rs 1500.",neutral
"Best budget phone in this segment Battery was too good with fast charging No heat problem (switch on power saving) Dual 4 g and display was good Camera is ok only,front camera not good. Mic noise cancellation was not good at some times. Perfect mobile in this budget. Tempered glass fixing is very difficult as sensor ison left to near to camera",positive
"My first impression about Vivo U10... 1. The design of this device is quite impressive and stylish and the built quality is also very good. 2. The device is little heavy and big in size. 3. Camera quality is also very good in this price range, wide angle mood is fantastic. But, there are very few features in camera mode (AI sticker mode and document scan mode are not present). 4. There are so many attractive features in smart motion settings. 5. Speaker is producing low sound. 6. Device is very fast. 7.Battery life is excellent. (I will update my review after using the device for few days...)",positive
its not worked nothing growswaste of money,neutral
worst products dont buyhot water become cold after 3 hours think 10 times before buybe careful about flipkart products,negative
Very good 👍👍😊,positive
must read,positive
Making good,positive
good but little expensive,neutral
bad proud,negative
"Battery could be better, there is no extra memory slot, you can use the slot either for second sim or for memory card..Camera is ok.",neutral
Truly inspirational....,positive
not very good,negative
it keeps water hot but not more than 10 hours as per my experience till nowu have to put much hot water in the bottle so that it keeps hot till long time,neutral
crompton product needs no introductiongreat value for moneyprospowerful motorcoveragecovers more area of your roomless noisysuper anti corrosion coloradogood lookingconscould not find one,negative
not fitting,negative
not upto the mark,neutral
"Absolutely a beast incarcerated in a phone Powerful, fast and truly smart.",positive
i have very bad experience to avail that products one sides of a pair shooes was delivered me when i want to return that products it was told me that we cant accept that products due to dirty really very bad experience,negative
product wise good but inner become rusted soon,neutral
It is like my old redmi 3s prime phone it also work only one 4g simple at a time if you use two re sim in this other simple lost the network all rest feature are good in the phone,neutral
The product is good. Sound quality is as good as wired earphones.,positive
not that goodi think price is high and the qualityis not that goodyou see threads coming out,neutral
food processor is not working,negative
"beautiful phone with good camera quality back cam is good, but front is not so good its ok, but overall i love 6 pro, thanks mi.",positive
so waste of use dont buy the grinder waste grinder,negative
"Booked the camera on 4th Jan 2016 received on 5th 2016 afternoon, though I paid 100 extra, but it was worth every penny!!! The packaging and the product is excellent. No complains whatsoever!!!",positive
A book you can't forgot. It will make your life.,positive
we get only 139 tb if we buy 15tb otherwise this is the bestone,neutral
Parking is very poor not for good parking itemes,positive
hates,negative
"Guys believe me, This is an average phone don't expect an I phone at this price range. Battery back up is just like a normal phone, not like 6000mah. Camera in day light good,but at night just average. There is a grey problem of range, this mobile is picking up very less range compating to my honor phone. Connectivity is also slow comparing to my honor. Display is good. So guys it's just an average phone.Dont fall in Gimmicks.",neutral
i got small square glass container instead of big round glass bowl but plant is in ok condition means it is not so good condition,neutral
Picture quality is average and it lags when we're use YouTube miracast but it is ok,positive
Very fast delivery but sound quality does not much good as i expected,neutral
bad product sleek and thin design easy to use but buttons are little harder to press but overall its fine you can control both ur tv and setup box edit after using for a month the quality of this remote is very pathetic remote is so sensitive that if you hold it slightly tight it will break bad product i ever bought from here please dont buy this product at any cost,negative
all seeds is good,neutral
Supper led for kevin,neutral
Awesome book to read by Parents,positive
Getting heat while charging,neutral
very worst product,negative
"Mobile looking is very good.but camera is not so good,",positive
Didn't like,neutral
"Received defective product from Green mobiles. Amazon is also not helping in returning the defective piece shipped by seller. Touch screen problem, heating issue and battery life is just last for 2 hour. Request not to buy the product from Green mobiles as they are selling defective piece under the name of sale.",negative
Perfect colours and mind blowing features recommended To all who don’t want to see brands but want same features and clarity,positive
very very bad quality product,negative
"First 8 pages are in black and blue and rest of book is in black print, print quality is also not good as u can see",neutral
So so . picture quality is not good. May be camera is not as per specifications,positive
What can be said about iPhone It's superb and amazon gave a good deal and delivery,positive
waste product not working,negative
"I have been using this product for 15 days now and This product turned out to be a mix bag Pro 1. Battery life is too good 2. Screen resolution and color quality is awesome. 3. At 13990 it is one of the best phones with advance features. Con 1. The back cover is cheap plastic.. when u press the sides , it seems loose. 2. The phone is quite heavy 3. When u are holding from the sides while watching any video , it opens command boxes. Which is irritating and ruin the fun. 4. The volume on max is too load and volume one point lower from the highest is too low.",neutral
"Superb phone with good quality of 48mp with wide lense equalize to canon and nikon camera lense quality.. Battery life is last long for 2 - 3 days on calling and its standby mode is very well even no drop of single point of battery percentage... Face recognition is awesome, even though in dim light it recognized very well.. True Android OS is good with best features... Thanks alot for Samsung G m30s...",positive
Horrible product with mic issues on call. The customer service is even worse. The customet service number is unavailable for last 5 days. There has been no update on the replacement of the headphone. They picked up the product the next day with no replacement or any update on when the product will be replaced. It has been 10 days that I am trying to get in touch with the customer service but the number is either unavailable or the office is closed. The sound quality is ok but the bluetooth connectivity and on-call mic is not working at all.,negative
Fingerprint sensor not good to work and hang the mobile as well as images also not seen fastly many queries in this phone,neutral
It was a defective product. People go buy from shops. The phone i got was over heating and also got a duplicate charger,negative
"Absolutely budget laptop at this price range. simply love it. If you are looking for a gaming beast at the price of 60k , you must go for it.",positive
takes too much time to wash utensils uses enormous water waste of money,negative
poco worrest issues r der,negative
"great sound, well controlled bass. even highest volume not coarse",positive
its tottaly different from website and very cheap or 3rd quality product after that not accepted product to return because duplicate dont buy this product from flipkart its worst product,negative
thomson kitchen master pro juicer mixture grinder it is average combo pack,neutral
"This is a good phone, great experience but I received a defective piece. Apple service center didn't help either.",neutral
brd,negative
"Its an average mobile reasonable for a regular minimum use. It may not be suitable for multitasking or high efficiency required applications like games, entertainment, etc. Better choice at this price compared to its peers. Got incorrect back cover in the package. It doesn't fit to this mobile. Certainly cant expect such mistake by the company. This may be at vendor end.",neutral
Face Detector: ★★★★★ Selfie Camera: ★★★★★ Smooth Operation: ★★★★★ Touch screen: ★★★★★ Speaker volume: ★★★★ Colour (Gold) : ★★★★★ Screen Size: ★★★★★,positive
Handy and sexiest Phone,positive
"Camera quality, phone speed poor compared to my Redmi2prime. Weird thing is that I have to hold the phone upside down to catch better internet connectivity!!!",negative
"On time delivery and installation. Just been 3 days since I have purchased it and so far so good. Energy saving options available, spacious and appears to have good built quality.",positive
poor voice recognition,negative
it stopped working in 3rd month i haver hardly used this product 10 15 times,negative
"Book is very simple and nice,,,,, non Maths students this book is very usefull...",positive
very bad product charge not charge watch dont buy,negative
Camera quality is average. Pics are bright but image pixelated. It doesn’t look like 48 mp cameras Battery life is superb. Overall phone phone is good. But someone looking for good camera shd think before purchase.,positive
A nice phone with a very extended battery life,positive
Excellent phone with good features..,positive
Best in this price,positive
dont buy this dont waste money very poor quality of sound,negative
rice cooker size is very compares other companies and body also heating heavly,negative
presently it ok and functioning properly,neutral
The phone is a bit slow while switching data plans between the two connected sim. Also the raise to wake feature is not as responsive as was in previous versions.,negative
product is not fresh it almost two years before manufacturing date quite dirty,negative
Absolutely third class product and waste of money,negative
A must have book for the bibliographs,positive
product is ok but service of bajaj products are done by very irresponsible agencies have registered for service after product got busted in 4 months they closed my complaint by doing nothing and did not even inform me about it,negative
not very good quality,negative
ok but not good,neutral
"Fingerprint reader:it's good ,but not upto mark Camera quality: best camera in mid range mobiles, i took pictures in this mobile ,it just like a DSLR pictures Battery life : at starting time 1 and half day ,after few months it became 1 day ,but battery is good ,its worth 5000 mah . Thank you",positive
"Display problem lines coming, please kindly replace product.. My dad suffer lot 😔",negative
Worst camera....... The front camera in realme 2Pro is better than this....,negative
good but price is high,neutral
"very slow delivery by amazon, but excellent phone....value for money at this price",neutral
i like the phone,positive
its not goodnot bad,negative
"Excellent phone, loved it. I'm using this phone from Feb 2019 and facing no issues.",positive
Very good book. And service for delivering the book also too good. Awesome,positive
slow charging after 2 month,negative
"Good as per light weight, battery life and picture quality but finger scanner not up to the level or sometimes doesn't work at all",neutral
Whose like slim n small so go for it... Bcz it's very handy phone but whose selfi addicted plz don't buy Bcz selfi camera is not good I thought it will same as redmi note 3 that was my recent phone but note 3 was far better than dis.,negative
duplicate product not worked even for a day,negative
The designing looking awesome quality is superb in this price,positive
not good products,negative
I suggest you guyz Dont buy this product really full.hanging problem and camera not good. M really dis satisfy and fully.hang.. Dont buy mseries phones..,negative
one advice don t by this product,negative
Sound quality is good. Moderate loudness. Bluetooth connectivity issue some time. Mic quality is not good.,neutral
"Its act just like we always expect from merchant like JBL ..At first i was very much doubt about its authentication..but now ,i am ok by verifying WITH HARMAN india support(JBL).",positive
"THE BEST CAMERA FOR ANYONE. IT DELIVERS GREAT PHOTOS , BUT IN A MUCH SMALLER FORM FACTOR. I BOUGHT THIS FROM AMAZON FOR Rs.29999(body+2 lens).",positive
Good sound quality for the price range. Some other brands give a much better feature for the same price and quality,neutral
not proper fiting steel hanger hook one,negative
drive is ok but not support in tv,neutral
"Only the built quality is poor. Very thin cable. Sounds good, balanced. Clear vocals. Perfect bass & trebles. Perfectly fitted in ears. Perfect for long duration of use. Regarding the pricing, this is the best choice.",neutral
actually when i bought it shows 1 yr warranty and have good battery backup but it is also like made in china when battery is 40 it is getting switched off pathertic dont buy,negative
"Its little average and some bugs about network, I used Red mi 4 and Mi max 2, so its not reched that bench mark, main issue is network, I am getting less signals even my idea sim is notworking it works few seconds then it became mute but not cut from call and which works in other mobiles, Have to clear low network signal, because which reached in other mobiles",neutral
43pcs balloons,neutral
"It's very slow, need bill copy so that i can give it to service station near by me.",negative
Mi tv is awesome. Good product at this price. I reviewed after ten days of use.,positive
"This phone doesn't deserve worth Rs 12999/-...it's price should be 10k because it is poor in display quality, battery(only 4000 mAh) as well as worst android system (Android one)..",neutral
Its the best in vlass with durable material,positive
"Got the brand new MI A1 fee hours back as an exchange offer with my old Xiaomi Redmi 4. Had a cracking deal and got this beauty at only 5995/- INR. The phone is a stunning beauty and gives an amazing first impression, the moment you take it out of the box. I'll have to use it for a few days to comment about it features but meanwhile what I found amazing is the stock Android performance, you get the phone with Android Oreo and within few minutes you get the Pie update and several security updates. Camera of the phone is just brilliant, absolutely stunning. And the speakers are quite loud and clear. If you're getting it at a good deal, then just go for it. It's a classy phone and worth the money spent on it. Exchanging phone was really hassle free, Amazon courier guys did a really fast and great job. And overall loved the experience of phone exchange over Amazon.",positive
"Apple it is. Another elegantly designed master piece from Apple. Benchmark performance in all aspects... camera, sound, display, user interface, performance, touch screen, fingerprint sensor, apps, design, dimension, optimization and most importantly reliability. Even after a year of use and fully loaded with apps the performance is extremely fluid. As always with any of the apple gadgets hardware and software integration highly optimized and reliable.",positive
"The product works perfectly fine. However the charging cable stopped working in 3-4 months. The product quality is nice & satisfies the purpose. Best for long travel, etc.",neutral
One of the best books to read in a lifetime.,positive
medium phone,neutral
warst of money medium hardweight 66 gram,negative
lots of seedseach packed individually with their name and photossowed 8 types of flowers will update after 1 monthupdate only 78 saplings,negative
took me almost 2 hours to cook chambav rice available in kerala its suitable only for thin white rice i guess,neutral
"It’s a wonderful and must have gadget for home. 1. The setting up of the product was bit time consuming. The Alexa app is too heavy. 2. However, once setup was done the echo dot worked perfectly fine. The sound quality is wonderful. The Alexa respond is amazing. 3. Overall a very good product",positive
Very good prodect,positive
very poor qualityslips as wellsticks to the floor if wetnot at recommended,negative
after 10 month of minimal use grinder isnt responding even after connecting to power,negative
Nice smartphone at this budget...,positive
This is A classy Product... I didn't Expect that a 1.5mtrs Long USB Cable Can Speed Charge my Redmi Note 4.. Its Very Durable and Long Lasting.. Boat has done a Great Job and We Appreciate It.. It has a Cool Look as well.. It is Also a Warrantied Product So no Issues... If You are Looking for a Good USB Cable ..Then you can Blindly Trust Boat Rugged v3 Extra Tough Unbreakable USB Cable ..Price is also Reasonable. The Only issue i had is With the Delivery Time. It Took more than 8days To Reach my Destination.. If This Could be Fixed By Amazon then i would Really Appreciate it.. Thanks.,positive
"M changing my review & points aftr 1mnth of usage. As per the specifications phone is a class within itself with fine elegance & performance but its biggest problem is broken netwrk connectivity. Internet isnt working smooth n kps fluctuating. Same sim wrkng fine on other phone but in this phone it kps on buffering & cnt use internet if any emergency logging. Phone heats up evn fr a 5min call which too is one of its deficiency. Rest one cn buy this phone as its size, look, battery, camera n screen r upto d mark.",neutral
the dress was called cotton but not cotton in really the skin of young children is not pleasant,negative
very bad pls dont take it,negative
"This product is awesome for it's prize, I bought it for 999 and it's worth it buying. Sound quality is also surprisingly good, easy to pair and legit product.",positive
Processing speed for this i3 4g ram lap is damn too slow. Prefer i5,negative
quality is very delicate,negative
Very nice iPhone xr value for money.,positive
size big/should be small,positive
quality of the is not that good and space in per box is less,negative
it is not working fine we expect like we put just 15 litters but work slowly very slowly,negative
sound distorted in some song at 70 volume too,negative
the liquid container was empty and it got leaked due to transportation or fault packing,negative
only two months use now it complaint very poor,negative
"I have used both Win and mac in my life, and i gonna be honest i prefer wondows. Windows is more user friendly than mac for me . It's price is a bit high for the specs, i mean you can get a qay more powerful laptop in 50k and if you are a gamer don't even think of getting a mac. Ofcourse you get much better battery life than windows , about 12 hrs of battery . So i only suggest you to go for mac if you are a office worker or business man and you work in a place where there is no place to plug in your laptop to charge it. And yeah it is light weight too. And 8 gb ddr3 RAM is slow. You can get 8 gb ddr4 RAM in Windows in that price which will me way more faster than this .",neutral
Look is awesome,positive
"Awesome sound quality and one of the best earphones for the people who go for running and Gym. Its been ore than a week, I am using this product.. so far happy and satisfied by the quality delivered.",positive
Fingerprint scanner is not working properly,neutral
bro you mat is super,neutral
Camera is number 1 Good battery backup 👍,positive
I had to return the speaker as it made a buzzing sound above 60% sound mark and the built quality could have been better.,negative
product is gooddelivery is very fast but installation was done very late,neutral
"Ordered for my mother and its a great phone with good battery life, sound quality, screen resolution and light weight. Gaming is not tested much but its smooth as butter",positive
poor i hated this,negative
air pump wasnt working,neutral
this is the gaming laptop,neutral
its worthlessits unable to wash clothesmoves very slowlytotal disappointed,negative
one light stick not working properly,neutral
"Awesome phone in the budget segment. Everything works perfectly fine. Thank God I replaced my first Huawei Y9, or else leave it. I got my defective Huawei replaced and everything changed. Camera looks good will be perfect once all the updates will be available",negative
I received only the ohone and clear plastic case. Package didn't contain earphones and not did it contain 3 back covers as being shown in many unboxing YouTube videos. So I am not sure why online purchases have not been able to get their ear plugs and 3 back cover cases. Or was it a tampered Package from the seller- would be good if someone can confirm this to me. Bought during 29.9 to 4.10 sale Phone works like a fast machine. Camera could have been bit better for nightmode.,positive
Front Camera is not as Good As rear one. Battery life if Good.,positive
dont buy if you want for uv type water purifier uv is just showpiece,negative
Nothing out of the box. Just okay.,neutral
"I bought it for my parents. They doesn't know much brands. So thought of gifting a well noted brand. Searched so many and finalized M20, but came across this deal and we got doubled ram(6GB) double storage (64GB), Clean interface but a lower battery. Its a steal deal for 10k",positive
Redmi 6 pro comes with dual camera in front. How amazon gets with single camera.... Any special production. Its not acceptable.. For that you are giving more discounts.Front Camera waste its like VGN camera. Not up to the level,negative
Good Build Quality... Handy and must have product... Sound quality is good... Happy with the product...,positive
very bad productmost of the packets contains only 45 seeds,negative
"Kevin 32""Led TV is very good with reasonable rate and features is excellent.",positive
Camera superb.... Very fast charges...,positive
Good look. Finger and face unlock working well. Battery back up good. Design is good. Handy size. Best in this cost.,positive
size not correct quality not good,negative
very bad product again and again it is losing,negative
do not buy worst product even mu suggestion plz buy offline mine is broken i replaced it 3 times never got a good one not refundable breaks are not working handle is bending weak body frame over all do not bye,negative
Good picture quality. Easy to use.,positive
The book was in good conditions,positive
"Good looking phone, decent performance,",neutral
book reck not badbut not more strongbut medium money rangit good,neutral
Nice proDuct,positive
Excellent phone in this price range..Love this phone.. Honestly it is a bit bulky though..,positive
Best smartphone on world,positive
"Can get better at this price range. Other than price issues, a good product overall. Compact, quality sound, long battery backup.",neutral
fare,neutral
Awesome Product,positive
Sound is slow..bad reputation of SONY company,negative
Its a worth to buy this phone coz of low Budget we getting everything in that line camera quality n all.awaesome quality,positive
must phone,neutral
the quality of the product is very bad the wire of micis very lose it dameged soon,negative
not badokfor this price,neutral
Worst product ever. Not at all worth. 48mp camera is really a joke.,negative
useless seed not germinate i follow every step by carefully but seed not germinate i write this review after 20 day of seedling,negative
"It's perfect for beginners like me, the quality and the zooming is fabulous! Very much satisfied with the product.",positive
"Never buy this phone, A small spray of water ends the story. I am loser in this deal and i dont the whether i am a victim of conspiracy by the seller Overall samsung is too good for the price we pay",negative
nice but very small screen and camera is not up to expectations,negative
"I can charge my phone for 3 to 4 times only So I suggest that company should improve it's performance, company doesn't give 10000 mAh.",positive
The specs are good enough for an average android user After few months of delicate usage the display edge have a flashing issue,neutral
rods n hooks are ok but its cover is not durable and doesnt cover the wardrobe properly very tight n short,neutral
Doubt about new product.,neutral
NICE PHONE & GOOD SERVICE.,positive
product damaged within 10days support is very bad its been almost 10days ticket raised to prestige no one came to repair they always says technician will come soon i dont recommend anyone,negative
"About us says ""and the 1920 x 1020 resolution allows for better clarity"" and the specs says it is 4K! What to believe?",neutral
ballon quantity very less not satisfied,negative
Mac beats everything else,positive
"What a complete package it is! Gives battery backup of more than 1 day, sound quality is nice too, speakers are loud enough, I don't know why honor 8x users are complaining about the same. Camera quality is average, it would be better not to use AI feature btw. Screen looks vibrant and attractive. Phone can be handled easily, Design is really really attractive. Back is glossy, It would be too risky to carry the device without cover case though. Fingerprint sensor is excellent. Now moving to the cons, It takes a very long time to be charged, face unlock is terrible, takes 1-2 seconds to unlock, and sometimes it doesn't even work!! front camera is below average To sum it all, the phone is definitely worth buying 😊",positive
not adjustable but works fine as a stand,neutral
very bad product dont investe your money this type of product,negative
Very good product....i loved it..,positive
quality is ok but it has a very bad smell,negative
The two main fault of this phone is bad ram management and very bad camera quality. In this segment you have a better option. If you want a better styling looking phone the honor 8x is best. It's look a premium quality phone,neutral
small size with balanced sound enough volume excellent packed performance 999 downside no inbuilt battery means no back up,neutral
please provide this in HINDI EDITION......,neutral
"I bought when the price was 31k, so it doesn't worth the price, better wait for the discount around 25k will be good",neutral
"After use one month facing issue... Hanging problem, face unlock not working ......... Selfi front camera not good",neutral
decorative light was good but got damage l after first use moreover satisfactory,neutral
gud at this price,neutral
This is a great phone...Everything is good except the camera...Primary Camera 13mp and depth effect camera 5mp are blurred when I recieved this phone....The wide angle camera was clear...Otherwise this is a beautiful phone,positive
SIMPLY SUPERB AND KILLER PHONE,positive
quality is good but pant size is small my baby 3yrs but i am order 45 yrs still pant small,neutral
"Only thing I wanna share is that , you will get the best JBL sound at rs 500 and even if the earphones last for 3-4 me months , it is all worth . More than that consider it as a bonus . I have tasted all brands of earphones so my review should help you guys :)",positive
Now it is death. not taking power charging.,neutral
A best all-rounder mobile phone in all Aspects.,positive
small & powerfull,positive
The book is not as I expected though I enjoyed reading it for its simple language the way of story telling.,neutral
Mi Mobile is good & Redmi 7 is best everything is goods & must buy form Amazon 1. Delivery service is very good 2. Timely delivery. 3. if buy under exchange than good valuation of old mobile.,positive
after 1 month use material is damage plz do not purchased this product,negative
product is good works very well but lock system for the jar is not good otherwise good product,neutral
Best shinco tv,positive
very worst product its not working flipkart and butterfly customer care also very worst totally my money waste please dont buy this product,negative
not up to mark,neutral
Vfm. Okay product .,neutral
i have met with accident which caused my both legs knee blocked so i started wearing knee cap from flamingo theyre thick perfect for winters but u will get irritated with it in few hours dr ortho material is very soft flexible type i loved wearing them its free size but till l size only if u have thick legs please dont buy it,neutral
"I usually upgrade my iphone every 3 years once, but this face id is not practical. And i will buy next iphone If only apple bring the fingerprint lock again. if they don't i have to change my brand to some other company like google pixel. I just want to make this statement and thinking where to do it. so i posted here in amazon from where i buy most of my things.",neutral
not working in 5 month tried for replaced at mo store but rejected for minor scratches,negative
awsme cam...best for pros and beginners...only thing is it is light weight,positive
Awesome man m love with the product♥️,positive
its a very old model with no timer displayinstallation service by bosch is very bad the installation guy would come up with some excuse to charge money from to install the product so be ready to shell out arround 500 for installationfurther even after paying bosch personnel for installation the pipe connected to tap started leaking in two daysin relation to quality of product please do not expect very high quality cleaning the milk and the tea utensils come out dirty everytime,negative
